index,0,1,2,3
0,F1愚,F1愚,F1愚,F1愚
1,F1愚,F1愚,F1愚,F2愚
2,F1愚,F1愚,F1愚,F3愚
3,F1愚,F1愚,F1愚,F1良
4,F1愚,F1愚,F1愚,F2良
5,F1愚,F1愚,F1愚,F3良
6,F1愚,F1愚,F1愚,1愚
7,F1愚,F1愚,F1愚,1.7愚
8,F1愚,F1愚,F1愚,2愚
9,F1愚,F1愚,F1愚,α愚
10,F1愚,F1愚,F1愚,β愚
11,F1愚,F1愚,F1愚,γ愚
12,F1愚,F1愚,F1愚,δ愚
13,F1愚,F1愚,F1愚,1良
14,F1愚,F1愚,F1愚,1.7良
15,F1愚,F1愚,F1愚,2良
16,F1愚,F1愚,F1愚,α良
17,F1愚,F1愚,F1愚,β良
18,F1愚,F1愚,F1愚,γ良
19,F1愚,F1愚,F1愚,δ良
20,F1愚,F1愚,F2愚,F2愚
21,F1愚,F1愚,F2愚,F3愚
22,F1愚,F1愚,F2愚,F2良
23,F1愚,F1愚,F2愚,F3良
24,F1愚,F1愚,F2愚,1愚
25,F1愚,F1愚,F2愚,1.7愚
26,F1愚,F1愚,F2愚,2愚
27,F1愚,F1愚,F2愚,α愚
28,F1愚,F1愚,F2愚,β愚
29,F1愚,F1愚,F2愚,γ愚
30,F1愚,F1愚,F2愚,δ愚
31,F1愚,F1愚,F2愚,1良
32,F1愚,F1愚,F2愚,1.7良
33,F1愚,F1愚,F2愚,2良
34,F1愚,F1愚,F2愚,α良
35,F1愚,F1愚,F2愚,β良
36,F1愚,F1愚,F2愚,γ良
37,F1愚,F1愚,F2愚,δ良
38,F1愚,F1愚,F3愚,F3愚
39,F1愚,F1愚,F3愚,F3良
40,F1愚,F1愚,F3愚,1愚
41,F1愚,F1愚,F3愚,1.7愚
42,F1愚,F1愚,F3愚,2愚
43,F1愚,F1愚,F3愚,α愚
44,F1愚,F1愚,F3愚,β愚
45,F1愚,F1愚,F3愚,γ愚
46,F1愚,F1愚,F3愚,δ愚
47,F1愚,F1愚,F3愚,1良
